user_hash,is_generic_email,account_active,login_count,fail_login_count,days_since_signup,days_since_last_login,signup_hour,signup_day_of_week,signup_month,last_login_hour,last_login_day_of_week,has_first_name,has_last_name,profile_completeness,workspace_count,organization_count,role_count,is_admin,is_guest,has_avatar,mfa_enabled,login_frequency,churned
9a3c66f49a66e5c2a8bc392fdf0a5d17,0,1,9,0,246.28,2.34,7,3,5,13,4,0,0,0,1,1,3,0,0,1,0,0.0365,0
cd20ec6acf2dae4f4f815a67de1d330a,0,1,39,0,871.08,2.42,10,1,8,12,4,1,1,2,1,1,4,1,0,1,0,0.0448,0
237bdc14078390d14f8e52c97acbf6b9,0,1,48,0,206.04,2.45,10,1,6,11,4,1,1,2,2,2,9,1,0,1,0,0.2330,0
a24f1d9fb1d4adb29a2726264a641f44,0,1,5,0,442.95,2.45,12,2,10,11,4,1,1,2,2,2,9,1,0,1,0,0.0113,0
a13e25f92c57b0a36fe18903de3a3abb,0,1,30,0,485.98,2.46,11,1,9,11,4,1,1,2,2,2,9,1,0,1,0,0.0617,0
04a45e210e4d0e38c868def82f4212b9,0,1,8,0,51.00,2.50,10,2,11,10,4,0,0,0,1,1,4,0,0,1,0,0.1569,0
7df70b22b357d67fa8e8665640dbefb2,0,1,365,0,870.99,2.50,10,1,8,10,4,1,1,2,1,1,4,1,0,1,0,0.4191,0
bc9d0f37c0b3508c93a84ecba1011d05,0,1,14,0,93.00,2.50,10,2,10,10,4,1,1,2,1,1,3,0,0,1,0,0.1505,0
6f2201d4c97a4d23690ac9d9df901ee5,0,1,6,0,92.96,2.54,10,2,10,9,4,1,1,2,1,1,3,0,0,1,0,0.0645,0
9811dad4a5c54effbf1995339f0c9de7,0,1,34,0,195.95,2.57,9,4,7,8,4,1,1,2,2,2,9,1,0,1,0,0.1735,0
2cf4d2395eccb970619e46e685f0b4ad,0,1,14,0,366.95,2.58,9,1,1,8,4,1,1,2,1,1,4,1,0,1,0,0.0382,0
4b31249d506a3a9f159b6866f4a95112,0,1,1,0,37.71,2.60,14,1,12,7,4,1,1,2,1,1,3,1,0,1,0,0.0265,0
299b7ba9998ee293d8d1b3d9ff13be80,0,1,21,0,674.95,2.61,8,1,3,7,4,1,1,2,1,1,3,1,0,1,0,0.0311,0
7234ac7efe6c703ccbd331398957cc8f,0,1,6,0,1128.92,2.86,3,2,12,1,4,1,1,2,1,1,7,1,0,1,0,0.0053,0
b7e3f835d068c7781be0f8ad4fbc6d1b,0,1,11,0,98.62,2.87,10,3,10,1,4,1,1,2,1,1,3,1,0,1,0,0.1115,0
da8ca8a63271defc374b61b026477242,0,1,34,0,870.55,2.94,10,1,8,23,3,1,1,2,1,1,4,1,0,1,0,0.0391,0
d897894eee9ea178f6567c47df2e39ae,0,1,49,0,870.38,3.11,10,1,8,19,3,1,1,2,1,1,4,1,0,1,0,0.0563,0
bfe98c93f021ee88b8a4661812264dfc,0,1,45,0,527.19,3.12,14,1,8,19,3,0,0,0,1,1,3,0,0,1,0,0.0854,0
ebe16d5d66c32b06ead2c2c85311081f,0,1,3,0,870.34,3.15,10,1,8,18,3,1,1,2,1,1,4,1,0,1,0,0.0034,0
ad3a6fb4a648b8f7bb29cbacb54e2ec3,0,1,2,0,50.88,3.24,19,1,11,16,3,1,1,2,2,2,9,1,0,1,0,0.0393,0
2a36bca7e43e8103a6285676157de7f1,0,1,121,0,1716.18,3.24,11,2,5,16,3,1,1,2,6,6,19,1,0,1,1,0.0705,0
2d33931f62cfb31cb0b5b7af0a0266cb,0,1,62,0,870.24,3.26,10,1,8,15,3,1,1,2,1,1,4,1,0,1,0,0.0712,0
c55ea40337db7d99f3fec43a3e3bd718,0,1,6,0,239.89,3.27,18,1,5,15,3,1,1,2,1,1,3,1,0,1,0,0.0250,0
77fb10e6bcbe4534bc139fa5c52e6fe9,0,1,16,0,870.21,3.29,10,1,8,15,3,0,0,0,1,1,4,0,0,1,0,0.0184,0
2a0a414fce808f738e9a32a179db1f1a,0,1,5,0,870.20,3.30,10,1,8,15,3,1,1,2,1,1,4,1,0,1,0,0.0057,0
